Name,Default Value,Warband Name,Description
bAutoRestartOnCrash,TRUE,,
iMaxNumFailedAutoRestarts,5,,Prevents a restart loop if the server crashes on startup.
fMinTimeForSuccessfulAutoRestart,120.0,,The minimum server uptime at which a restart is considered successful and the restart counter is reset.
bLogConnects,TRUE,,
bLogDisconnects,TRUE,,
bLogKills,TRUE,,
bLogChat,TRUE,,
bLogTeamChat,TRUE,,
bLogBans,TRUE,,
bLogIPs,TRUE,,Logs ip with player's connect and disconnect.
cLogSeparatorChar,",",,For advanced log format.
bStoreConsolePlacement,TRUE,,
vConsoleWindowPosition,"-1,-1",,
vConsoleWindowSize,"-1,-1",,
bAutoSplitModuleConsoleCommands,FALSE,,Automatically splits the console command by spaces and puts strings into registers for wse_console_command_received script.
bAdvancedLogFormat,FALSE,,Uses advanced log format instead standart Warband's. More convenient for parsing logs.
