Name,Default Value,Warband Name,Description
bUseDirect3D9ExIfAvailable,TRUE,,An extension only available in Windows Vista and newer.
iMaximumFrameLatency,0,,"Works only if Direct3D9Ex is enabled. The maximum number of back buffer frames that a driver can queue. The value defaults to 3, but can range from 1 to 16. A value of 0 will reset latency to the default. "
iPreset,0,,"0 - custom, 1 - low, 2 - medium, 3 - high, 4 - very high"
iWindowedDisplayX,0,,
iWindowedDisplayY,0,,
iWindowedDisplayWidth,0,,
iWindowedDisplayHeight,0,,
iFullscreenDisplayWidth,0,rgl_config.txt - display_width,
iFullscreenDisplayHeight,0,rgl_config.txt - display_height,
iFullscreenDisplayDepth,0,rgl_config.txt - display_bits,
iFullscreenDisplayRefreshRate,0,,
bWindowed,TRUE,rgl_config.txt - start_windowed,
bMaximized,FALSE,,
iGraphicsBufferLockFailThreshold,100,,
bAutoAdjustAspectRatio,TRUE,rgl_config.txt - enable_aspect_ratio_control,
bForceVSync,FALSE,rgl_config.txt - force_vsync,"Prevents screen tearing, can cause input lag."
iAnisotropicFiltering,4,rgl_config.txt - anisotropic_filtering,"Reduces blur on distant surfaces. Values: 0, 2, 4, 8, 16."
bInstancing,FALSE,rgl_config.txt - use_instancing,"Method that renders multiple copies of a mesh with the same material in a single draw call. Each copy of the mesh is called an instance. This is useful for drawing things that appear multiple times in a scene, for example, trees or bushes."
iMultisampleType,0,rgl_config.txt - sample_quality,Antialiasing (MSAA). Smooths out jagged edges on solid objects.
bAlphaToCoverage,FALSE,rgl_config.txt - alpha2coverage,Transparency Antialiasing (MSAA). Smooths out jagged edges on semi-transparent objects.
iShaderQuality,2,rgl_config.txt - shader_quality,"0 - abysmal, 1 - low, 2 - medium, 3 - high"
bDynamicLighting,TRUE,rgl_config.txt - enable_lighting,
bDynamicMeshBatching,TRUE,,"For small enough meshes, this transforms their vertices on the CPU, groups similar vertices together, and renders them in one draw call. Requires ""Combine meshes"" or ""Combine low-poly meshes"" flag for material in brf."
iMaxNumBatchedMeshVertices,1000,,Vertices limit for collection size.
iMaxNumAutoBatchMeshVertices,30,,"Vertices limit for mesh with ""Combine low-poly meshes"" material flag."
bOnDemandTextures,FALSE,rgl_config.txt - use_ondemand_textures_mt,
iOnDemandTextureCheckThreshold,100,,
fOnDemandTextureCheckPeriod,10.0,,
fOnDemandTextureForceCheckPeriod,60.0,,
iOnDemandTextureTimeout,12000000,,
fGamma,2.2,rgl_config.txt - gamma,range: 1.5-2.5
