Name,Default Value,Warband Name,Description
iAttributeHorse,-1,wse module.ini - difficulty_attribute_itp_type_horse,Set difficulty requirement for item types (check attributes in header_troops.py and skills in header_skills.py).
iSkillHorse,24,wse module.ini - difficulty_skill_itp_type_horse,
iAttributeOneHanded,0,wse module.ini - difficulty_attribute_itp_type_one_handed,
iSkillOneHanded,-1,wse module.ini - difficulty_skill_itp_type_one_handed,
iAttributeTwoHanded,0,wse module.ini - difficulty_attribute_itp_type_two_handed,
iSkillTwoHanded,-1,wse module.ini - difficulty_skill_itp_type_two_handed,
iAttributePolearm,0,wse module.ini - difficulty_attribute_itp_type_polearm,
iSkillPolearm,-1,wse module.ini - difficulty_skill_itp_type_polearm,
iAttributeShield,-1,wse module.ini - difficulty_attribute_itp_type_shield,
iSkillShield,26,wse module.ini - difficulty_skill_itp_type_shield,
iAttributeBow,-1,wse module.ini - difficulty_attribute_itp_type_bow,
iSkillBow,33,wse module.ini - difficulty_skill_itp_type_bow,
iAttributeCrossbow,0,wse module.ini - difficulty_attribute_itp_type_crossbow,
iSkillCrossbow,-1,wse module.ini - difficulty_skill_itp_type_crossbow,
iAttributeThrown,-1,wse module.ini - difficulty_attribute_itp_type_thrown,
iSkillThrown,34,wse module.ini - difficulty_skill_itp_type_thrown,
iAttributeHeadArmor,0,wse module.ini - difficulty_attribute_itp_type_head_armor,
iSkillHeadArmor,-1,wse module.ini - difficulty_skill_itp_type_head_armor,
iAttributeBodyArmor,0,wse module.ini - difficulty_attribute_itp_type_body_armor,
iSkillBodyArmor,-1,wse module.ini - difficulty_skill_itp_type_body_armor,
iAttributeFootArmor,0,wse module.ini - difficulty_attribute_itp_type_foot_armor,
iSkillFootArmor,-1,wse module.ini - difficulty_skill_itp_type_foot_armor,
iAttributeHandArmor,0,wse module.ini - difficulty_attribute_itp_type_hand_armor,
iSkillHandArmor,-1,wse module.ini - difficulty_skill_itp_type_hand_armor,
iAttributePistol,-1,wse module.ini - difficulty_attribute_itp_type_pistol,
iSkillPistol,-1,wse module.ini - difficulty_skill_itp_type_pistol,
iAttributeMusket,-1,wse module.ini - difficulty_attribute_itp_type_musket,
iSkillMusket,-1,wse module.ini - difficulty_skill_itp_type_musket,
