Name,Default Value,Warband Name,Description
iUdpReceiveBufferSize,262144,,Size of a socket's receive buffer.
iUdpSendBufferSize,262144,,Size of a socket's send buffer.
iMaxNumServerSearchConnections,16,rgl_config.txt - max_number_of_connections,
bSecureMasterServerConnection,FALSE,rgl_config.txt - use_secure_connection,https
bLoopbackServer,FALSE,rgl_config.txt - look_for_server_on_this_machine,
sServerAddress,,,empty for ANY
iServerPort,7240,wse_setting.ini - listen_server port,
sClientAddress,,,empty for ANY
iClientPort,0,,
bAutoSelectClientPort,TRUE,,
fServerActivityTimeout,20.0,,
fClientActivityTimeout,20.0,,
fServerInfoRequestActivityTimeout,3.0,,
fPlayerInfoRequestActivityTimeout,3.0,,
bHttpServerQueries,FALSE,,Returns xml by default. Can be overridden using wse_get_server_info script.
bBreakWarbandCompatibility,FALSE,wse module.ini - network_compatible,Changes the network protocol for enable some advanced WSE features like composite network messages and more skins in multiplayer.
bOGPServer,FALSE,wse_setting.ini - ogp_server enabled,Open game protocol for quering server info.
iOGPServerPort,22222,wse_setting.ini - ogp_server port,UDP
bRCONServer,FALSE,wse_setting.ini - rcon_server enabled,Source rcon protocol for remote console commands.
iRCONServerPort,22222,wse_setting.ini - rcon_server port,TCP
sRCONServerPassword,qwerty,wse_setting.ini - rcon_server password,
iNumPlayersLimit,250,,Different values on client and server break network compatibility (different size of number in bits). So put this value in the settings of your module and not only to server. Range: 2-1000. Operation: get_max_players.
iMultiplayerEventForAnnounce,111,,"Used for announce console command and other WSE2 server notifications since Warband doesn't have a hardcoded event for that purpose. 111 for Native and VC, 105 for NW. For other modules check header_common.py and search multiplayer_event_show_server_message or similar."
bServerLockFov,FALSE,,Used server-side for lock fov for all WSE2 players to default 75.
bFastDL,FALSE,,Quick download of server's custom maps from external storage.
bFastDLUrl,,,"Supports http, https, ftp."
