Name,Default Value,Warband Name,Description
fSoundVolume,1.0,rgl_config.txt - sound_volume,range: 0.0-1.0
fMusicVolume,0.4,rgl_config.txt - music_volume,range: 0.0-1.0
bSound,TRUE,rgl_config.txt - disable_sound,
bMusic,TRUE,rgl_config.txt - disable_music,
bUseWinmm,FALSE,rgl_config.txt - use_winmm_audio,Use Windows Multimedia output.
bDisableFrequencyVariation,FALSE,rgl_config.txt - disable_frequency_variation,
iMaxNumChannels,64,,
iMaxNumVirtualChannels,200,,
bOcclusion,FALSE,,"Sound occlusion in games refers to a process that imitates how sounds are perceived in ""closed"" environments, closed meaning that there are barriers close to the sound source or listener. It's can drop performance dramatically with a large number of agents or other sound sources."
bOcclusionFilter,FALSE,,All FMOD_SOFTWARE (and FMOD_HARDWARE on 3DS and NGP) with FMOD_3D based voices will add a software lowpass filter effect into the DSP chain which is automatically used when Channel::set3DOcclusion is used or the geometry API.
bHrtfFilter,TRUE,,All FMOD_SOFTWARE (and FMOD_HARDWARE on 3DS and NGP) with FMOD_3D based voices will add a software lowpass filter effect into the DSP chain which causes sounds to sound duller when the sound goes behind the listener.
bDistanceFilter,TRUE,,All FMOD_SOFTWARE with FMOD_3D based voices will add a software lowpass and highpass filter effect into the DSP chain which will act as a distance-automated bandpass filter. 
bWasapiExclusive,FALSE,,"Win32 Vista only - for WASAPI output - Enable exclusive access to hardware, lower latency at the expense of excluding other applications from accessing the audio hardware."
fDistancePriorityFactor,0.47,,
